P,urn:nasa:pds:context:target:asteroid.18_melpomene::1.1
P,urn:nasa:pds:context:target:asteroid.1906_naef::1.0
P,urn:nasa:pds:context:target:asteroid.1906_naef::1.1
P,urn:nasa:pds:context:target:asteroid.19_fortuna::1.0
P,urn:nasa:pds:context:target:asteroid.19_fortuna::1.1
P,urn:nasa:pds:context:target:asteroid.2006_sg109::1.0
P,urn:nasa:pds:context:target:asteroid.2007_wd5::1.0
P,urn:nasa:pds:context:target:asteroid.20_massalia::1.0
P,urn:nasa:pds:context:target:asteroid.20_massalia::1.1
P,urn:nasa:pds:context:target:asteroid.2110_moore-sitterly::1.0
P,urn:nasa:pds:context:target:asteroid.2110_moore-sitterly::1.1
P,urn:nasa:pds:context:target:asteroid.2148_epeios::1.0
P,urn:nasa:pds:context:target:asteroid.2148_epeios::1.1
P,urn:nasa:pds:context:target:asteroid.21566_1998_qm103::1.0
P,urn:nasa:pds:context:target:asteroid.216_kleopatra::1.0
P,urn:nasa:pds:context:target:asteroid.216_kleopatra::1.1
P,urn:nasa:pds:context:target:asteroid.21_lutetia::1.0
P,urn:nasa:pds:context:target:asteroid.21_lutetia::1.1
P,urn:nasa:pds:context:target:asteroid.2201_oljato::1.0
P,urn:nasa:pds:context:target:asteroid.2201_oljato::1.1
P,urn:nasa:pds:context:target:asteroid.22059_2000_ad75::1.0
P,urn:nasa:pds:context:target:asteroid.224_oceana::1.0
P,urn:nasa:pds:context:target:asteroid.224_oceana::1.1
P,urn:nasa:pds:context:target:asteroid.22669_1998_qx32::1.0
P,urn:nasa:pds:context:target:asteroid.22672_1998_qv37::1.0
P,urn:nasa:pds:context:target:asteroid.22899_alconrad::1.0
P,urn:nasa:pds:context:target:asteroid.22_kalliope::1.0
P,urn:nasa:pds:context:target:asteroid.22_kalliope::1.1
P,urn:nasa:pds:context:target:asteroid.23054_thomaslynch::1.0
P,urn:nasa:pds:context:target:asteroid.23054_thomaslynch::1.1
P,urn:nasa:pds:context:target:asteroid.23144_2000_ay182::1.0
P,urn:nasa:pds:context:target:asteroid.23433_1981_uu22::1.0
P,urn:nasa:pds:context:target:asteroid.23622_1996_rw29::1.0
P,urn:nasa:pds:context:target:asteroid.23958_1998_vd30::1.0
P,urn:nasa:pds:context:target:asteroid.2411_zellner::1.0
P,urn:nasa:pds:context:target:asteroid.2411_zellner::1.1
P,urn:nasa:pds:context:target:asteroid.24380_2000_aa160::1.0
P,urn:nasa:pds:context:target:asteroid.243_ida::1.0
P,urn:nasa:pds:context:target:asteroid.243_ida::1.1
P,urn:nasa:pds:context:target:asteroid.24403_2000_ax193::1.0
P,urn:nasa:pds:context:target:asteroid.24449_2000_ql63::1.0
P,urn:nasa:pds:context:target:asteroid.24470_2000_sj310::1.0
P,urn:nasa:pds:context:target:asteroid.24537_2001_cb35::1.0
P,urn:nasa:pds:context:target:asteroid.25143_itokawa::1.0
P,urn:nasa:pds:context:target:asteroid.25192_1998_su124::1.0
P,urn:nasa:pds:context:target:asteroid.253_mathilde::1.0
P,urn:nasa:pds:context:target:asteroid.25820_2000_db56::1.0
P,urn:nasa:pds:context:target:asteroid.26641_2000_jt30::1.0
P,urn:nasa:pds:context:target:asteroid.2685_masursky::1.0
P,urn:nasa:pds:context:target:asteroid.26970_elias::1.0
P,urn:nasa:pds:context:target:asteroid.26970_elias::1.1
P,urn:nasa:pds:context:target:asteroid.27705_1985_du1::1.0
P,urn:nasa:pds:context:target:asteroid.28271_1999_ck16::1.0
P,urn:nasa:pds:context:target:asteroid.28306_1999_cv79::1.0
P,urn:nasa:pds:context:target:asteroid.283_emma::1.0
P,urn:nasa:pds:context:target:asteroid.283_emma::1.1
P,urn:nasa:pds:context:target:asteroid.2867_steins::1.0
P,urn:nasa:pds:context:target:asteroid.288_glauke::1.0
P,urn:nasa:pds:context:target:asteroid.288_glauke::1.1
P,urn:nasa:pds:context:target:asteroid.29281_1993_fj38::1.0
P,urn:nasa:pds:context:target:asteroid.29481_1997_vj3::1.0
P,urn:nasa:pds:context:target:asteroid.29_amphitrite::1.0
P,urn:nasa:pds:context:target:asteroid.29_amphitrite::1.1
P,urn:nasa:pds:context:target:asteroid.2_pallas::1.0
P,urn:nasa:pds:context:target:asteroid.2_pallas::1.1
P,urn:nasa:pds:context:target:asteroid.300163_2006_vw139::1.0
P,urn:nasa:pds:context:target:asteroid.300164_2006_ve140::1.0
P,urn:nasa:pds:context:target:asteroid.300165_2006_vw140::1.0
P,urn:nasa:pds:context:target:asteroid.300166_2006_vq142::1.0
P,urn:nasa:pds:context:target:asteroid.300167_2006_vm143::1.0
P,urn:nasa:pds:context:target:asteroid.300168_2006_va144::1.0
P,urn:nasa:pds:context:target:asteroid.300169_2006_vc146::1.0
P,urn:nasa:pds:context:target:asteroid.300170_2006_vb151::1.0
P,urn:nasa:pds:context:target:asteroid.300171_2006_vs151::1.0
P,urn:nasa:pds:context:target:asteroid.300172_2006_vs168::1.0
P,urn:nasa:pds:context:target:asteroid.300173_2006_wt::1.0
P,urn:nasa:pds:context:target:asteroid.300174_2006_wm11::1.0
P,urn:nasa:pds:context:target:asteroid.300175_2006_wv20::1.0
P,urn:nasa:pds:context:target:asteroid.300176_2006_wg26::1.0
P,urn:nasa:pds:context:target:asteroid.300177_2006_wd33::1.0
P,urn:nasa:pds:context:target:asteroid.300178_2006_wv36::1.0
P,urn:nasa:pds:context:target:asteroid.300179_2006_wy36::1.0
P,urn:nasa:pds:context:target:asteroid.300180_2006_wx42::1.0
P,urn:nasa:pds:context:target:asteroid.300181_2006_wk45::1.0
P,urn:nasa:pds:context:target:asteroid.300182_2006_wj53::1.0
P,urn:nasa:pds:context:target:asteroid.300183_2006_wz58::1.0
P,urn:nasa:pds:context:target:asteroid.300184_2006_wk61::1.0
P,urn:nasa:pds:context:target:asteroid.300185_2006_wb62::1.0
P,urn:nasa:pds:context:target:asteroid.300186_2006_wg64::1.0
P,urn:nasa:pds:context:target:asteroid.300187_2006_wk65::1.0
P,urn:nasa:pds:context:target:asteroid.300188_2006_wd70::1.0
P,urn:nasa:pds:context:target:asteroid.300189_2006_wu71::1.0
P,urn:nasa:pds:context:target:asteroid.300190_2006_wv75::1.0
P,urn:nasa:pds:context:target:asteroid.300191_2006_wq86::1.0
P,urn:nasa:pds:context:target:asteroid.300192_2006_ww87::1.0
P,urn:nasa:pds:context:target:asteroid.300193_2006_wh92::1.0
P,urn:nasa:pds:context:target:asteroid.300194_2006_wc95::1.0
P,urn:nasa:pds:context:target:asteroid.300195_2006_wo96::1.0
P,urn:nasa:pds:context:target:asteroid.300196_2006_wz96::1.0
P,urn:nasa:pds:context:target:asteroid.300197_2006_wx99::1.0
P,urn:nasa:pds:context:target:asteroid.300198_2006_wh100::1.0
P,urn:nasa:pds:context:target:asteroid.300199_2006_wk100::1.0
P,urn:nasa:pds:context:target:asteroid.300200_2006_ws100::1.0
P,urn:nasa:pds:context:target:asteroid.300201_2006_wg101::1.0
P,urn:nasa:pds:context:target:asteroid.300202_2006_we109::1.0
P,urn:nasa:pds:context:target:asteroid.300203_2006_we111::1.0
P,urn:nasa:pds:context:target:asteroid.300204_2006_wr117::1.0
P,urn:nasa:pds:context:target:asteroid.300205_2006_wh125::1.0
P,urn:nasa:pds:context:target:asteroid.300206_2006_ww126::1.0
P,urn:nasa:pds:context:target:asteroid.300207_2006_wb137::1.0
P,urn:nasa:pds:context:target:asteroid.300208_2006_wf139::1.0
P,urn:nasa:pds:context:target:asteroid.300209_2006_wt151::1.0
P,urn:nasa:pds:context:target:asteroid.300210_2006_wb152::1.0
